@RELATION ontolo_new_trop

@ATTRIBUTE cooc NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE relation {"ant","tmp","ent","pre"}
@ATTRIBUTE correct {"+","-"}


@DATA
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.06666666666666667,0,ant,-
0,2,pre,-
0,0,tmp,-
0.007462686567164179,0,ent,-
0.07443946188340807,0,pre,-
0,2,ant,-
0,1,ent,-
0.12440191387559808,1,ent,-
0,1,ent,-
0.023809523809523808,2,ant,-
0.18181818181818182,1,tmp,-
0.02619871478002966,0,ent,-
0.02142857142857143,0,pre,-
0.03571428571428571,1,ant,-
0.02127659574468085,0,ant,-
0,0,ant,-
0.05019305019305019,0,pre,-
0,0,ant,-
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0.4375,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,pre,-
0,0,tmp,-
0,0,tmp,-
