@RELATION ontolo

@ATTRIBUTE cooc NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE relation {"ant","tmp","ent","pre"}
@ATTRIBUTE correct {"+","-"}


@DATA
0,0,ent,-
0,1,ant,-
0,0,ant,-
0,0,ant,-
0.05263157894736842,0,pre,-
1.5,0,tmp,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0,1,ent,-
3.3582089552238807,2,pre,-
0,1,pre,-
0.04411764705882353,0,pre,-
0,1,tmp,-
0.011292346298619825,0,ent,-
0,0,ant,-
0,1,ant,-
0.03879310344827586,0,pre,-
0,0,tmp,-
0,0,pre,-
0,2,ent,-
0,0,ant,-
0,1,ant,-
0.006825938566552901,0,ent,-
0,1,pre,-
0.013836477987421384,1,ent,-
0,0,ant,-
0,0,pre,-
0,0,tmp,-
0.0912863070539419,1,pre,-
0.18181818181818182,1,tmp,-
0,0,ant,-
0.03333333333333333,0,ant,-
0.019230769230769232,0,ant,-
0.046153846153846156,0,ant,-
0.11320754716981132,0,ant,-
0,0,ant,-
0,0,ant,-
0.3333333333333333,1,pre,-
0,1,ent,-
0,0,tmp,-
0,0,ant,-
0,0,pre,-
0,1,ant,-
0.023255813953488372,0,ant,-
0.014563106796116505,1,pre,-
0.046153846153846156,0,ant,-
0.017857142857142856,0,ant,-
0,0,ant,-
0,0,ant,-
0,3,tmp,-
0,0,ant,-
0,0,ant,-
0,2,ant,-
0,0,ent,-
0.06666666666666667,0,ant,-
0,0,ant,-
0.013605442176870748,0,ant,-
0,1,ant,-
0.07647058823529412,1,pre,-
0.025,0,ant,-
0,0,ent,-
0,1,pre,-
0,1,ent,-
0,2,tmp,-
0,0,pre,-
0,0,ent,-
0,0,tmp,-
0,1,ant,-
0,2,ant,-
0,1,ent,-
0,0,ant,-
1.0706963591375045,1,ent,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0.019230769230769232,0,ant,-
0.01278409090909091,1,ent,-
1.1420612813370474,2,ent,-
0,0,ant,-
0.04526748971193416,2,pre,-
0,1,tmp,-
0,0,ant,-
0,1,ant,-
0.03333333333333333,1,ant,-
0,0,ant,-
0,2,ant,-
3.8333333333333335,1,ant,-
0,2,tmp,-
0.1864406779661017,0,ent,-
0,3,tmp,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0,1,pre,-
0,0,pre,-
0.0625,1,ent,-
0,1,ant,-
0,0,ent,-
0,0,tmp,-
0,0,ent,-
0,1,ant,-
0,0,ant,-
0.04838709677419355,0,pre,-
0,0,ant,-
0,0,ent,-
0.03333333333333333,0,ant,-
0,0,tmp,-
0,0,tmp,-
0,0,ant,-
0,0,ant,-
0.038461538461538464,6,ent,-
0,0,pre,-
0,0,ant,-
0,0,tmp,-
0,0,ent,-
0,0,ent,-
0,0,ent,-
0.03278688524590164,0,ant,-
0,1,tmp,-
0,1,tmp,-
0.06666666666666667,0,ant,-
0.665961049957663,1,ent,-
0,0,tmp,-
0,0,tmp,-
0,1,tmp,-
5.666666666666667,1,pre,-
1.5960591133004927,0,ant,-
0,3,tmp,+
0,0,ent,-
0,1,tmp,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0,0,ent,-
0,1,ent,-
0,0,ant,-
0,1,ant,-
0.7,0,ant,-
0,0,ent,-
0,1,ant,-
0,0,ent,-
0.11593768723786699,1,ent,-
0,0,ant,-
0,1,tmp,-
0,0,tmp,-
0,2,ant,-
1.0,0,tmp,-
0,0,pre,-
1.1064106736088513,0,ent,-
0,0,tmp,-
0.058823529411764705,0,pre,-
0.0033333333333333335,0,ent,-
0.010914051841746248,1,ent,-
0.4146341463414634,1,pre,-
0,1,ant,-
0,0,tmp,-
0,0,tmp,-
0,0,ant,-
0,1,ent,-
0,1,ent,-
0,1,pre,-
0,0,pre,-
0.42857142857142855,1,ant,-
1.3761467889908257,2,pre,-
2.7897519316795445,2,ent,-
0.01198501872659176,1,ent,-
0,0,pre,-
0,1,ent,-
0,0,pre,-
0.32589285714285715,2,ent,-
0,0,ant,-
0,0,ant,-
0.08441558441558442,0,pre,-
0.1,0,pre,-
0.12440191387559808,0,ent,-
0,2,ant,-
0.046153846153846156,0,ant,-
0,1,ent,-
0,0,ant,-
0,1,tmp,-
0,1,ent,-
0,2,pre,-
0.12264150943396226,0,ent,-
0.13063063063063063,0,pre,-
0.4820621043111245,1,ent,-
0,0,ant,-
0.015209125475285171,2,ent,-
0,2,tmp,-
0,0,pre,-
0,0,ant,-
0.035239745811669554,1,ent,-
0,0,tmp,-
0.00966183574879227,2,ent,-
0.08823529411764706,0,ant,-
0,1,ent,-
0,1,ent,-
0,2,ent,-
0,2,ant,-
0,0,ent,-
0,1,ant,-
0,0,ant,-
0,1,tmp,-
0.0196078431372549,1,ant,-
0,0,ant,-
0,1,ant,-
0.018518518518518517,0,ant,-
0,1,tmp,-
0,0,tmp,-
0.022727272727272728,0,ent,-
0.0075843761850587785,1,ent,-
0,0,tmp,-
0,0,tmp,-
0,0,ent,-
0,0,tmp,-
0.7114047287899861,1,ent,-
0,1,pre,-
0,0,ant,-
0,0,ant,-
0.02127659574468085,6,ant,-
0,0,ant,-
0.1111111111111111,0,pre,-
0,1,ant,-
0,1,ant,-
0,1,ent,-
0.027522935779816515,1,pre,-
0.06711409395973154,0,pre,-
0,0,ant,-
0.0049261083743842365,2,pre,-
0,1,ant,-
0,0,ent,-
0.6629213483146067,1,ent,-
0,0,ant,-
0,0,pre,-
0,0,ent,-
8.160714285714286,0,ant,-
0,1,ant,-
0,0,ant,-
0.16666666666666666,0,ant,-
0.0196078431372549,0,ant,-
0.022222222222222223,0,ent,-
1.0985915492957747,1,ent,-
0,1,ant,-
0,1,ent,-
0,0,ent,-
0,0,ant,-
0,1,ant,-
0,2,tmp,-
2.0,1,tmp,-
0,0,ent,-
0.052062204192021636,0,ent,-
0,0,ant,-
0,0,pre,-
0.03333333333333333,2,ant,-
0,0,pre,-
0,0,ant,-
0,2,pre,-
0.4,1,pre,-
0,0,pre,-
0,0,ant,-
0,1,ent,-
0,0,pre,-
0.04700854700854701,0,pre,-
0.07142857142857142,0,ant,-
0,0,ant,-
0,1,ant,-
0,1,ant,-
0.07758620689655173,0,ant,-
0,0,ant,-
0.03636363636363636,0,ent,-
0,0,ant,-
0,0,ant,-
0.016129032258064516,0,pre,-
0.9184322033898306,1,pre,-
0,0,tmp,-
0.1111111111111111,0,pre,-
0,0,pre,-
0,2,pre,-
0,2,ant,-
0.018518518518518517,0,ant,-
0,0,ant,-
0,1,ant,-
0.8594327990135635,4,pre,-
0,3,tmp,-
0,0,tmp,-
2.0456769983686787,1,ent,-
0,0,ant,-
0,0,pre,-
0,1,ent,-
0,0,ant,-
0,0,tmp,-
0,1,ant,-
0,0,pre,-
0.0453920220082531,1,pre,-
0.018867924528301886,1,ant,-
0.13043478260869565,0,ent,-
0.027522935779816515,0,pre,-
0,0,ant,-
0.3191489361702128,1,ant,-
0.046153846153846156,0,ant,-
0,0,ant,-
0,0,ant,-
0.046153846153846156,0,ant,-
0,0,ant,-
0,0,ent,-
0,1,ant,-
0.2,0,pre,-
0.42105263157894735,0,pre,-
0,0,ant,-
0.023255813953488372,0,ant,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0.16363636363636364,2,pre,+
0.07142857142857142,3,ant,-
12.204735376044567,0,ent,-
0,1,ant,-
0.1355081555834379,1,ent,-
0,0,ant,-
0,1,pre,-
1.0476190476190477,1,tmp,-
0.018518518518518517,0,ant,-
0,0,pre,-
0,0,pre,-
0,1,ant,-
0,0,pre,-
0.005341880341880342,1,ent,-
0.008264462809917356,0,ent,-
0.2917771883289125,1,pre,-
0.05,0,ent,-
0.15789473684210525,0,pre,-
0.018518518518518517,0,ant,-
0,0,ant,-
0.015625,0,pre,-
0,0,ant,-
0,0,tmp,-
0,0,tmp,-
0,0,tmp,-
0,1,ant,-
0,0,ant,-
0.16666666666666666,0,ant,-
0,1,ent,-
0.003401360544217687,1,ent,-
0,0,ant,-
0,2,ant,-
0,2,ant,-
0,1,ent,-
0.023255813953488372,0,ant,-
3.085714285714286,1,pre,-
0,0,ant,-
0,0,ant,-
0.07758620689655173,0,ant,-
0.023809523809523808,2,ant,-
0.02459016393442623,0,pre,-
0,0,ant,-
0,1,ent,-
0.1111111111111111,0,ent,-
0.17488789237668162,0,pre,-
0,1,ant,-
0,4,ent,-
0,0,ant,-
0,0,ant,-
0.1,0,ant,-
0,0,ant,-
0.2,1,ant,-
0,0,ant,-
0.0453920220082531,0,pre,-
0,1,tmp,-
0,1,tmp,-
0,0,ant,-
0,0,ant,-
0.1111111111111111,0,ent,-
0.04,0,ant,-
0,0,tmp,-
0.045454545454545456,1,ent,-
0.04878048780487805,0,pre,-
0,0,ant,-
0,1,ant,-
0,0,ent,-
0,0,pre,-
0,2,ant,-
0,1,ant,-
0.0038314176245210726,0,ent,-
0,0,ant,-
0,0,ant,-
0.06060606060606061,1,pre,-
0,0,ant,-
0,0,pre,-
0,1,ent,-
0,0,ant,-
0,0,ant,-
0,1,ent,-
0,0,ant,-
1.276309896999552,1,ent,-
0,0,pre,-
0.02127659574468085,0,ant,-
0,2,pre,-
0,0,ant,-
0,0,pre,-
0,2,ant,-
0,0,ent,-
0,0,ant,-
0,0,ant,-
0,1,pre,-
0,1,ant,-
0,0,ent,-
0.1111111111111111,2,ent,-
0,0,pre,+
0,1,tmp,-
0.022792022792022793,0,ent,-
0.15615906886517944,0,ent,-
0,1,ant,-
1.22,0,ant,-
0.17391304347826086,1,pre,-
1.1194029850746268,0,ant,-
0.0049261083743842365,0,pre,-
0,0,tmp,-
0.9264705882352942,0,ant,-
0,0,tmp,-
1.1641304347826087,1,pre,-
0,1,ant,-
0,1,pre,-
0.046153846153846156,0,ant,-
0,2,tmp,-
